observation_id,observation_date,source_name,source_reference,location_raw,boi_market_id,match_status,product,price_raw,unit_raw,currency,market_level,collection_method,standardized_price_bif_per_kg,quality_flag,notes
P16H001,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Rutana,Rutana,matched_to_priority_market_node,beans,68,FBU/kg,BIF,rural_market,secondary_documented,68,documented_historical,Table 4; July 1996
P16H002,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Rutana,Rutana,matched_to_priority_market_node,beans,280,FBU/kg,BIF,rural_market,secondary_documented,280,documented_historical,Table 4; January 1997
P16H003,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Rutana,Rutana,matched_to_priority_market_node,maize,38,FBU/kg,BIF,rural_market,secondary_documented,38,documented_historical,Table 4; July 1996
P16H004,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Rutana,Rutana,matched_to_priority_market_node,maize,60,FBU/kg,BIF,rural_market,secondary_documented,60,documented_historical,Table 4; January 1997
P16H005,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Rutana,Rutana,matched_to_priority_market_node,rice,123,FBU/kg,BIF,rural_market,secondary_documented,123,documented_historical,Table 4; July 1996
P16H006,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Rutana,Rutana,matched_to_priority_market_node,rice,250,FBU/kg,BIF,rural_market,secondary_documented,250,documented_historical,Table 4; January 1997
P16H007,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Makamba,Makamba,matched_to_priority_market_node,beans,90,FBU/kg,BIF,rural_market,secondary_documented,90,documented_historical,Table 4; July 1996
P16H008,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Makamba,Makamba,matched_to_priority_market_node,beans,200,FBU/kg,BIF,rural_market,secondary_documented,200,documented_historical,Table 4; January 1997
P16H009,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Makamba,Makamba,matched_to_priority_market_node,maize,40,FBU/kg,BIF,rural_market,secondary_documented,40,documented_historical,Table 4; July 1996
P16H010,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Makamba,Makamba,matched_to_priority_market_node,maize,80,FBU/kg,BIF,rural_market,secondary_documented,80,documented_historical,Table 4; January 1997
P16H011,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Makamba,Makamba,matched_to_priority_market_node,rice,173,FBU/kg,BIF,rural_market,secondary_documented,173,documented_historical,Table 4; July 1996
P16H012,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Makamba,Makamba,matched_to_priority_market_node,rice,350,FBU/kg,BIF,rural_market,secondary_documented,350,documented_historical,Table 4; January 1997
P16H013,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Bururi,Bururi,matched_to_priority_market_node,beans,110,FBU/kg,BIF,rural_market,secondary_documented,110,documented_historical,Table 4; July 1996
P16H014,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Bururi,Bururi,matched_to_priority_market_node,beans,250,FBU/kg,BIF,rural_market,secondary_documented,250,documented_historical,Table 4; January 1997
P16H015,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Bururi,Bururi,matched_to_priority_market_node,maize,45,FBU/kg,BIF,rural_market,secondary_documented,45,documented_historical,Table 4; July 1996
P16H016,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Bururi,Bururi,matched_to_priority_market_node,maize,120,FBU/kg,BIF,rural_market,secondary_documented,120,documented_historical,Table 4; January 1997
P16H017,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Bururi,Bururi,matched_to_priority_market_node,rice,180,FBU/kg,BIF,rural_market,secondary_documented,180,documented_historical,Table 4; July 1996
P16H018,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Bururi,Bururi,matched_to_priority_market_node,rice,250,FBU/kg,BIF,rural_market,secondary_documented,250,documented_historical,Table 4; January 1997
P16H019,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Muramvya,Muramvya,matched_to_priority_market_node,beans,120,FBU/kg,BIF,rural_market,secondary_documented,120,documented_historical,Table 4; July 1996
P16H020,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Muramvya,Muramvya,matched_to_priority_market_node,beans,220,FBU/kg,BIF,rural_market,secondary_documented,220,documented_historical,Table 4; January 1997
P16H021,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Muramvya,Muramvya,matched_to_priority_market_node,maize,70,FBU/kg,BIF,rural_market,secondary_documented,70,documented_historical,Table 4; July 1996
P16H022,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Muramvya,Muramvya,matched_to_priority_market_node,maize,120,FBU/kg,BIF,rural_market,secondary_documented,120,documented_historical,Table 4; January 1997
P16H023,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Muramvya,Muramvya,matched_to_priority_market_node,rice,200,FBU/kg,BIF,rural_market,secondary_documented,200,documented_historical,Table 4; July 1996
P16H024,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Muramvya,Muramvya,matched_to_priority_market_node,rice,350,FBU/kg,BIF,rural_market,secondary_documented,350,documented_historical,Table 4; January 1997
P16H025,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Gitega,Gitega,matched_to_priority_market_node,beans,114,FBU/kg,BIF,rural_market,secondary_documented,114,documented_historical,Table 4; July 1996
P16H026,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Gitega,Gitega,matched_to_priority_market_node,beans,200,FBU/kg,BIF,rural_market,secondary_documented,200,documented_historical,Table 4; January 1997
P16H027,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Gitega,Gitega,matched_to_priority_market_node,maize,50,FBU/kg,BIF,rural_market,secondary_documented,50,documented_historical,Table 4; July 1996
P16H028,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Gitega,Gitega,matched_to_priority_market_node,maize,70,FBU/kg,BIF,rural_market,secondary_documented,70,documented_historical,Table 4; January 1997
P16H029,1996-07-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Gitega,Gitega,matched_to_priority_market_node,rice,210,FBU/kg,BIF,rural_market,secondary_documented,210,documented_historical,Table 4; July 1996
P16H030,1997-01-01,FAO/WFP Crop and Food Supply Assessment Mission to Burundi,https://www.fao.org/4/W4490e/W4490e00.htm,Gitega,Gitega,matched_to_priority_market_node,rice,350,FBU/kg,BIF,rural_market,secondary_documented,350,documented_historical,Table 4; January 1997
