corridor_key,route_observations,products,robust_routes,strong_or_better,avg_robustness_pct,avg_min_net_margin_bif_kg,max_min_net_margin_bif_kg,avg_distance_km,min_distance_km,max_distance_km,avg_break_even_bif_tkm,robust_or_strong_share_pct,breadth_score,robust_score,margin_score,distance_score,priority_score,priority_tier
Bukirasazi — Gihamagara,10,10,10,10,100.0,1663.881278,13729.787278,13.475148,13.475148,13.475148,124977.77389903252,100.0,1.0,1.0,0.9480367863333764,0.9576898153380056,98.53763388004758,A — stratégique
Bukirasazi — Gitega,10,10,10,10,100.0,1330.4773145,11229.6443145,13.570457,13.570457,13.570457,99542.1893308383,100.0,1.0,1.0,0.919475610379488,0.9573416853840074,97.96292906142985,A — stratégique
Bukirasazi — Rutana,10,10,10,10,100.0,1686.213085,14950.724085,32.85061,32.85061,32.85061,52829.73436414119,100.0,1.0,1.0,0.9497397726283008,0.886918128563911,97.86397673820512,A — stratégique
Cankuzo — Kigamba,10,10,10,10,100.0,1375.8465064999998,5700.120506499999,19.366329,19.366329,19.366329,72543.226958501,100.0,1.0,1.0,0.923758118368901,0.936171421791493,97.83687658529294,A — stratégique
Biyorwa — Ruyigi,10,10,10,10,100.0,1358.029295,4424.237295000002,22.72847,22.72847,22.72847,61250.14134255408,100.0,1.0,1.0,0.9220933776795944,0.9238907138660593,97.68077469225248,A — stratégique
Bubanza — Kivyuka,10,10,10,10,100.0,1161.6222790000002,8530.185279000001,13.829814000000002,13.829814,13.829814,85494.06376687351,100.0,1.0,1.0,0.9021430716791222,0.9563943463029227,97.60680489661166,A — stratégique
Biyorwa — Gihamagara,10,10,10,10,100.0,1283.401355,9340.829355,22.78043,22.78043,22.78043,57837.88980278248,100.0,1.0,1.0,0.9148748928218025,0.9237009224254844,97.53450708069089,A — stratégique
Makamba — Muyange,10,10,10,10,100.0,1347.8033414999995,7646.899341499997,31.700439,31.700439,31.700439,44016.86676957375,100.0,1.0,1.0,0.9211280357784336,0.8911192950573162,97.33375366614185,A — stratégique
Kigamba — Ruyigi,10,10,9,10,98.33333333333334,2250.1114265,14460.1444265,68.237049,68.237049,68.237049,34474.922853126314,100.0,1.0,1.0,0.9865934616426978,0.7576640247413232,97.3085094802672,A — stratégique
Chez Siyoni — Kinama,10,10,10,10,100.0,1208.9066105,3883.0966105000007,24.795593,24.795593,24.795593,50254.898118387406,100.0,1.0,1.0,0.9072382613139376,0.9163402471221164,97.3081676974999,A — stratégique
Kayongozi — Ruyigi,10,10,10,10,100.0,1232.610183,4729.580183000001,30.519878,30.519878,30.519878,41887.126809615685,100.0,1.0,1.0,0.9097180187344128,0.8954314654359999,97.14867502904823,A — stratégique
Gihamagara — Kinyinya,10,10,10,10,100.0,1540.6709944999998,9095.621994499998,47.365337,47.365337,47.365337,34027.394336917736,100.0,1.0,1.0,0.9382098169148316,0.8339009817802372,97.103206156099,A — stratégique
Kigamba — Twinkwavu,10,10,10,10,100.0,1243.8684379999995,6284.827437999996,35.361708,35.361708,35.361708,36675.57573859271,100.0,1.0,1.0,0.9108791624840394,0.8777459787016235,96.99504303669704,A — stratégique
Bururi — Buyengero,10,10,10,10,100.0,1193.7107285,5960.5277285,34.768181,34.768181,34.768181,35833.42482024009,100.0,1.0,1.0,0.9056228511276742,0.8799139222033562,96.91159624458705,A — stratégique
Matana — Rutana,10,10,10,10,100.0,1451.989525,11176.779525,48.81365,48.81365,48.81365,31245.56348480394,100.0,1.0,1.0,0.9306378382769304,0.8286108083646639,96.89886484918524,A — stratégique
Rubaho — Rutana,10,10,10,10,100.0,1255.6856830000002,9191.795683,38.802878,38.802878,38.802878,33860.632708738776,100.0,1.0,1.0,0.9120867167721992,0.865176605884789,96.89350039429186,A — stratégique
Bandaga — Muhanga,10,10,10,10,100.0,1132.3477069999997,6617.141706999998,33.018862,33.018862,33.018862,35793.965279602904,100.0,1.0,1.0,0.8988836167360695,0.8863035637167287,96.84070797188868,A — stratégique
Kanyosha — Kinama,10,10,10,10,100.0,1133.1871685,5387.4581685,33.361221,33.361221,33.361221,35467.19707890788,100.0,1.0,1.0,0.8989782500230389,0.885053047785171,96.8300954783125,A — stratégique
Gisuru — Kigamba,10,10,10,10,100.0,1460.1886265,10651.6496265,51.680249,51.680249,51.680249,29754.28775507641,100.0,1.0,1.0,0.9313570361733392,0.8181401395086164,96.80854211855294,A — stratégique
Gihamagara — Matana,10,10,10,10,100.0,1517.0120954999998,9918.4710955,54.352603,54.352603,54.352603,29410.56935212468,100.0,1.0,1.0,0.9362331939471203,0.8083789787044251,96.80845366598663,A — stratégique
Kigamba — Muyinga,10,10,10,10,100.0,1229.4938774999998,9416.578877499998,41.727415,41.727415,41.727415,30964.89442252773,100.0,1.0,1.0,0.9093947391263462,0.8544943100756233,96.73283788328315,A — stratégique
Bandaga — Gihogazi,10,10,10,10,100.0,1555.7667114999997,10744.520711499996,59.212859,59.212859,59.212859,27774.13602001551,100.0,1.0,1.0,0.9394552245109012,0.790626188331018,96.6953663735282,A — stratégique
Bukeye — Gihogazi,10,10,10,10,100.0,1377.3740549999995,10366.683054999996,51.84463000000001,51.84463,51.84463,28067.3427508307,100.0,1.0,1.0,0.923899839881636,0.8175397140507041,96.65339393813976,A — stratégique
Busoni — Mukenke,10,10,10,10,100.0,894.9924975,6217.4464975,21.702335,21.702335,21.702335,42739.45637646825,100.0,1.0,1.0,0.8688482294646667,0.927638820869027,96.6533527979836,A — stratégique
Musenyi — Muzinda,10,10,10,10,100.0,766.019215,4060.623215,11.43119,11.43119,11.43119,68511.32734212273,100.0,1.0,1.0,0.848983871745603,0.9651556685576812,96.63123412048888,A — stratégique
Kayogoro — Muyange,10,10,10,10,100.0,1273.6209024999996,7595.869902499998,47.200065,47.200065,47.200065,28483.45653761281,100.0,1.0,1.0,0.9138979163673084,0.8345046617449539,96.62300494479572,A — stratégique
Kanyosha — Muzinda,10,10,10,10,100.0,874.7887124999997,5516.036712499997,21.715525000000003,21.715525000000003,21.715525000000003,41784.0231815717,100.0,1.0,1.0,0.8659332293971085,0.9275906424798588,96.59457101274074,A — stratégique
Gasenyi — Muzinda,10,10,10,10,100.0,1285.915764,6869.210763999999,50.152824,50.152824,50.152824,27139.94729389515,100.0,1.0,1.0,0.9151248568514634,0.8237192809851357,96.53968994688064,A — stratégique
Cankuzo — Ruyigi,10,10,9,10,98.33333333333334,1253.2354875,8759.272487500002,49.371675,49.371675,49.371675,26883.6939398957,100.0,1.0,1.0,0.9118372774630976,0.8265725410700769,96.50247095996272,A — stratégique
Gitega — Kinyinya,10,10,10,10,100.0,1153.7774614999998,6600.951461499998,43.812359,43.812359,43.812359,27834.520391837385,100.0,1.0,1.0,0.9012777438972368,0.8468787495429491,96.49434237337422,A — stratégique
Kayanza — Mihigo,10,10,10,10,100.0,835.1533229999999,4634.775322999998,21.263118,21.263118,21.263118,40777.0864084938,100.0,1.0,1.0,0.8600139507005653,0.929243124701878,96.49271026103008,A — stratégique
Gihamagara — Gisuru,10,10,10,10,100.0,1723.1091415,9892.0671415,71.955239,71.955239,71.955239,25446.958768353197,100.0,1.0,1.0,0.9525046204966564,0.7440827961726021,96.49092037165914,A — stratégique
Kirundo — Masanganzira,10,10,10,10,100.0,930.0640419999996,5119.741041999998,31.285972000000005,31.285972,31.285972,31227.8295205276,100.0,1.0,1.0,0.87375565087063,0.8926331959233806,96.4014449766464,A — stratégique
Gihamagara — Nyabikere,10,10,8,10,96.66666666666669,1378.1880435,10411.5210435,58.98597099999999,58.985971,58.985971,24864.675025863355,100.0,1.0,1.0,0.9239752952386304,0.7914549296776142,96.39405520154874,A — stratégique
Biyorwa — Gitega,10,10,10,10,100.0,854.6201404999999,6836.3591405,25.760573,25.760573,25.760573,34675.509741184724,100.0,1.0,1.0,0.862955451801245,0.9128155176316266,96.38726421234117,A — stratégique
Mihigo — Ngozi,10,10,10,10,100.0,716.7725294999998,3395.6885294999984,13.987647,13.987647,13.987647,52743.25267144644,100.0,1.0,1.0,0.840502465068377,0.955817838365274,96.36822768502029,A — stratégique
Kirundo — Ruhehe,10,10,10,10,100.0,787.2013635000001,4468.8193635,20.787091,20.787091,20.787091,39369.72229543807,100.0,1.0,1.0,0.85246565689506,0.930981882401695,96.35913196191814,A — stratégique
Buyengero — Rumonge,10,10,10,10,100.0,890.8240460000001,5976.447046000002,29.588636,29.588636,29.588636,31606.96559314191,100.0,1.0,1.0,0.8682522247630399,0.8988329619853406,96.3533741151142,A — stratégique
Gihamagara — Ruyigi,9,9,9,9,100.0,2499.0676647222226,13781.355442500002,34.649705000000004,34.649705000000004,34.649705000000004,73623.77896787929,100.0,0.9,1.0,1.0,0.8803466729869116,96.30346672986911,A — stratégique
Bururi — Kayogoro,10,10,10,10,100.0,1192.1944095,6473.6354095,53.809727,53.809727,53.809727,23655.741646858754,100.0,1.0,1.0,0.9054605316401698,0.8103619120780486,96.21282975358388,A — stratégique
Giteranyi — Kobero,10,10,10,10,100.0,702.7075555000001,4098.8205555,17.452963,17.452963,17.452963,41762.93733046933,100.0,1.0,1.0,0.8379731121796872,0.9431602687793068,96.19106493138682,A — stratégique
Gihogazi — Muramvya,10,10,10,10,100.0,1235.2684924999996,9515.825492499996,57.083005,57.083005,57.083005,23139.86448330812,100.0,1.0,1.0,0.9099931419178664,0.7984057891561521,96.18392072991884,A — stratégique
