product,total,Robust,Strong,Moderate,Sensitive,Not profitable,robust_share_pct,strong_or_better_pct
bananas,2407,2032,60,123,78,114,84.42044038221853,86.91316992106357
beans,2555,1921,104,163,152,215,75.18590998043052,79.2563600782779
cassava_flour,2536,1629,156,249,198,304,64.23501577287067,70.38643533123029
maize,2547,1555,169,275,206,342,61.05221829603455,67.68747546132705
maize_flour,2398,1572,135,226,189,276,65.55462885738115,71.18432026688907
meat_goat,2393,2350,7,11,11,14,98.20309235269536,98.49561220225658
onions,2389,2098,45,97,67,82,87.81917120133947,89.70280452071997
potatoes,2550,2102,77,128,101,142,82.43137254901961,85.45098039215686
rice,2552,2159,66,116,68,143,84.60031347962382,87.18652037617555
tomatoes,2397,2087,49,87,74,100,87.0671672924489,89.11138923654568
