corridor_key,scenarios_profitable,min_stress_margin,avg_stress_margin,max_stress_score,mean_stress_score,spatial_priority_score,spatial_tier,active_products,flow_persistence_score,stress_class
Bandaga — Biyorwa,7,706.2073429247334,829.0000978248858,64.2804686440208,64.2804686440208,64.2804686440208,C — secondaire,0.0,0.0,Very robust
Bandaga — Bubanza,7,449.9445785632512,530.3988430985364,72.2264829395032,72.2264829395032,72.2264829395032,B — prioritaire,0.0,0.0,Very robust
Bandaga — Buhiga,7,520.1411394275483,612.4919408975207,64.20856838307049,64.20856838307049,64.20856838307049,C — secondaire,0.0,0.0,Very robust
Bandaga — Bujumbura (FAO location),3,-14.9752815608091,-0.648774954632413,40.90684455411419,40.90684455411419,40.90684455411419,D — surveillance,0.0,0.0,Moderate
Bandaga — Bukeye,7,233.70985617919072,271.4998917910817,72.28315968715971,72.28315968715971,72.28315968715971,B — prioritaire,0.0,0.0,Very robust
Bandaga — Bukirasazi,7,1016.7326010213076,1186.6621501519892,64.49201373754164,64.49201373754164,64.49201373754164,C — secondaire,0.0,0.0,Very robust
Bandaga — Burambi,7,372.8533401665692,456.0185869285297,71.10334604300097,71.10334604300097,71.10334604300097,B — prioritaire,0.0,0.0,Very robust
Bandaga — Bururi,7,642.1308705897183,764.4428653955936,67.60651378636197,67.60651378636197,67.60651378636197,C — secondaire,0.0,0.0,Very robust
Bandaga — Busoni,7,814.2967446134184,958.2223782628936,68.06997309388365,68.06997309388365,68.06997309388365,C — secondaire,0.0,0.0,Very robust
Bandaga — Buyengero,7,1160.2094033714502,1351.8847794449073,68.57717825005868,68.57717825005868,68.57717825005868,C — secondaire,0.0,0.0,Very robust
Bandaga — Cankuzo,7,393.6620882842424,486.0758946932466,58.662484938994496,58.662484938994496,58.662484938994496,C — secondaire,0.0,0.0,Very robust
Bandaga — Chez Siyoni,7,607.8785481111734,710.5070791905028,72.58415497934597,72.58415497934597,72.58415497934597,B — prioritaire,0.0,0.0,Very robust
Bandaga — Cibitoke,7,527.7181109718147,627.584575495857,69.71181077607213,69.71181077607213,69.71181077607213,C — secondaire,0.0,0.0,Very robust
Bandaga — Gasenyi,7,656.4346526597033,772.2303768541586,80.5756741490544,80.5756741490544,80.5756741490544,B — prioritaire,2.0,33.333333333333336,Very robust
Bandaga — Gasorwe,7,476.4217303051624,565.1983127022124,55.881709834281914,55.881709834281914,55.881709834281914,C — secondaire,0.0,0.0,Very robust
Bandaga — Gatabo,7,502.0696833247589,582.1460911391822,72.87720989750272,72.87720989750272,72.87720989750272,B — prioritaire,0.0,0.0,Very robust
Bandaga — Gihamagara,7,523.0950363631937,620.4135378699403,67.93070261637497,67.93070261637497,67.93070261637497,C — secondaire,0.0,0.0,Very robust
Bandaga — Giharo,7,779.7246003276191,923.1513095689796,59.66629347832674,59.66629347832674,59.66629347832674,C — secondaire,0.0,0.0,Very robust
Bandaga — Gihogazi,7,1225.3968755893538,1414.1796389668657,73.51291486808769,73.51291486808769,73.51291486808769,B — prioritaire,0.0,0.0,Very robust
Bandaga — Gisuru,7,998.2038355918636,1177.7475572536557,59.59612016115603,59.59612016115603,59.59612016115603,C — secondaire,0.0,0.0,Very robust
Bandaga — Gitaza,7,784.0007810741239,918.6692390317672,64.34324463850575,64.34324463850575,64.34324463850575,C — secondaire,0.0,0.0,Very robust
Bandaga — Gitega,7,268.4088330738485,330.3598798887923,63.13354117223933,63.13354117223933,63.13354117223933,C — secondaire,0.0,0.0,Very robust
Bandaga — Gitega Centre,7,132.40186630385085,167.88960813022172,52.2494244342991,52.2494244342991,52.2494244342991,C — secondaire,0.0,0.0,Very robust
Bandaga — Giteranyi,7,867.8757208055449,1023.9346280595191,63.80530936781669,63.80530936781669,63.80530936781669,C — secondaire,0.0,0.0,Very robust
Bandaga — Gitobe,7,688.5295877652119,810.1830827565194,64.15737655674951,64.15737655674951,64.15737655674951,C — secondaire,0.0,0.0,Very robust
Bandaga — Jene,7,466.9483930491218,541.881283878195,68.77941271427834,68.77941271427834,68.77941271427834,C — secondaire,0.0,0.0,Very robust
Bandaga — Kamenge,7,492.41841348314966,578.285534349921,72.36970617334651,72.36970617334651,72.36970617334651,B — prioritaire,0.0,0.0,Very robust
Bandaga — Kanyosha,7,345.1039718807335,412.1788662346001,75.99884132899159,75.99884132899159,75.99884132899159,B — prioritaire,1.0,16.666666666666668,Very robust
Bandaga — Kayanza,7,671.1322699831314,771.9384159927705,69.41355911904182,69.41355911904182,69.41355911904182,C — secondaire,0.0,0.0,Very robust
Bandaga — Kayero,7,742.3670069389872,878.6727935452802,55.710869827013155,55.710869827013155,55.710869827013155,C — secondaire,0.0,0.0,Very robust
Bandaga — Kayogoro,7,957.005168580483,1131.415302947191,42.61465713739925,42.61465713739925,42.61465713739925,D — surveillance,0.0,0.0,Very robust
Bandaga — Kayongozi,7,797.1583655329498,941.7287677998355,63.80826171370644,63.80826171370644,63.80826171370644,C — secondaire,0.0,0.0,Very robust
Bandaga — Kigamba,7,679.7457325467653,809.0245968057565,63.533505211372045,63.53350521137205,63.533505211372045,C — secondaire,0.0,0.0,Very robust
Bandaga — Kinama,7,717.2146340087104,829.7147671465901,69.13801655778582,69.13801655778582,69.13801655778582,C — secondaire,0.0,0.0,Very robust
Bandaga — Kinyinya,7,902.1720845416085,1062.6776656606892,71.92903889704485,71.92903889704485,71.92903889704485,B — prioritaire,0.0,0.0,Very robust
Bandaga — Kirehe,7,467.5566816512845,559.2221555648362,63.630121534200704,63.630121534200704,63.630121534200704,C — secondaire,0.0,0.0,Very robust
Bandaga — Kirundo,7,692.1526906291547,815.4274439839235,64.08732377585461,64.08732377585461,64.08732377585461,C — secondaire,0.0,0.0,Very robust
Bandaga — Kivyuka,7,770.824908916156,894.6815872497809,89.93965701589795,89.93965701589795,89.93965701589795,A — stratégique,3.0,100.0,Very robust
Bandaga — Kobero,7,576.3362357055317,687.2442515880849,63.60241818294125,63.60241818294124,63.60241818294125,C — secondaire,0.0,0.0,Very robust
Bandaga — Mabanda,7,845.9840651965582,1008.8585542270964,46.99020151302991,46.99020151302991,46.99020151302991,D — surveillance,0.0,0.0,Very robust
Bandaga — Mabayi,7,819.4761582684066,960.4832938293172,76.52112507600822,76.5211250760082,76.52112507600822,B — prioritaire,1.0,16.666666666666668,Very robust
Bandaga — Makamba,7,1284.9608864448724,1506.3206132700245,47.40328757861369,47.40328757861369,47.40328757861369,D — surveillance,0.0,0.0,Very robust
Bandaga — Marangara,7,794.6926690722087,927.5935193166608,64.58541694988553,64.58541694988553,64.58541694988553,C — secondaire,0.0,0.0,Very robust
Bandaga — Masanganzira,7,431.84085644987226,511.44819104994525,68.03943529709355,68.03943529709355,68.03943529709355,C — secondaire,0.0,0.0,Very robust
Bandaga — Matana,7,756.7455341839077,889.7767292216748,68.1737970567238,68.1737970567238,68.1737970567238,C — secondaire,0.0,0.0,Very robust
Bandaga — Mihigo,7,286.7502934478844,337.07413433480764,72.18766039613408,72.18766039613408,72.18766039613408,B — prioritaire,0.0,0.0,Very robust
Bandaga — Mishiha,7,489.5848848333061,598.8690792142742,54.64679193530926,54.64679193530926,54.64679193530926,C — secondaire,0.0,0.0,Very robust
Bandaga — Muhanga,7,895.1624737491164,1030.6968927496212,98.57831858734991,98.57831858734991,98.57831858734991,A — stratégique,1.0,100.0,Very robust
Bandaga — Mukenke,7,501.6001638955647,600.4596093838134,71.59713544231353,71.59713544231353,71.59713544231353,B — prioritaire,0.0,0.0,Very robust
Bandaga — Muramvya,7,300.46672509130343,350.65276161055857,72.37689626419859,72.37689626419859,72.37689626419859,B — prioritaire,0.0,0.0,Very robust
Bandaga — Musenyi,7,455.785331984036,535.2736959931581,97.36217656087577,97.36217656087577,97.36217656087577,A — stratégique,4.0,100.0,Very robust
Bandaga — Mutaho,7,477.4258705257239,555.1730665110244,72.74019155298643,72.74019155298643,72.74019155298643,B — prioritaire,0.0,0.0,Very robust
Bandaga — Muyange,7,557.0873032718858,681.7842971165225,62.43695395323023,62.43695395323023,62.43695395323023,C — secondaire,0.0,0.0,Very robust
Bandaga — Muyinga,7,641.665349577604,757.4068772475446,64.02652315069898,64.02652315069898,64.02652315069898,C — secondaire,0.0,0.0,Very robust
Bandaga — Muzinda,7,777.9719592018599,904.0415153722254,77.0845629084531,77.0845629084531,77.0845629084531,B — prioritaire,1.0,16.666666666666668,Very robust
Bandaga — Mwakiro,7,999.2612395367844,1164.8806146586219,68.62356800585843,68.62356800585843,68.62356800585843,C — secondaire,0.0,0.0,Very robust
Bandaga — Mwaro,7,492.8334955107425,579.4969603617467,64.27067198506637,64.27067198506637,64.27067198506637,C — secondaire,0.0,0.0,Very robust
Bandaga — Ngozi,7,637.2219163119663,738.7269429908426,64.95031811774221,64.95031811774221,64.95031811774221,C — secondaire,0.0,0.0,Very robust
Bandaga — Nyabihanga,7,778.863198150571,906.8887117788161,64.7431866958997,64.7431866958997,64.7431866958997,C — secondaire,0.0,0.0,Very robust
Bandaga — Nyabikere,7,923.916431528198,1074.1128903692277,64.83388267954959,64.83388267954959,64.83388267954959,C — secondaire,0.0,0.0,Very robust
Bandaga — Nyagasasa,7,356.3477617383317,424.69692877674515,65.29145530893155,65.29145530893155,65.29145530893155,C — secondaire,0.0,0.0,Very robust
Bandaga — Rubaho,7,554.7075455828243,667.540421535496,59.19428635157628,59.19428635157628,59.19428635157628,C — secondaire,0.0,0.0,Very robust
Bandaga — Rugombo,7,611.5811166408921,725.711273131811,84.48203059936674,84.48203059936675,84.48203059936674,B — prioritaire,3.0,66.66666666666667,Very robust
Bandaga — Ruhehe,7,445.2910598636036,538.0537599415443,67.31395476256614,67.31395476256614,67.31395476256614,C — secondaire,0.0,0.0,Very robust
Bandaga — Rumonge,7,649.9317679340982,775.569247686042,67.46786752714533,67.46786752714533,67.46786752714533,C — secondaire,0.0,0.0,Very robust
Bandaga — Rusaka,7,643.5922164857654,748.5175857319946,70.71461027001544,70.71461027001544,70.71461027001544,B — prioritaire,0.0,0.0,Very robust
Bandaga — Rutana,7,412.697547644917,503.09928041925025,55.00461263214225,55.00461263214225,55.00461263214225,C — secondaire,0.0,0.0,Very robust
Bandaga — Ruyigi,7,1272.2856079148128,1481.033043677777,64.5811673979529,64.5811673979529,64.5811673979529,C — secondaire,0.0,0.0,Very robust
Bandaga — Rwibaga,7,648.2480078073812,756.032375060306,68.6723859107625,68.6723859107625,68.6723859107625,C — secondaire,0.0,0.0,Very robust
Bandaga — Twinkwavu,7,386.0198141086474,481.049738046563,62.4182181554006,62.4182181554006,62.4182181554006,C — secondaire,0.0,0.0,Very robust
Bandaga — Wimpfizi,7,754.8464634928604,883.0710443540828,52.38334727704239,52.38334727704239,52.38334727704239,C — secondaire,0.0,0.0,Very robust
Biyorwa — Bubanza,7,683.906510496789,814.2759524986241,59.480994275974474,59.480994275974474,59.480994275974474,C — secondaire,0.0,0.0,Very robust
Biyorwa — Buhiga,7,520.3847046755685,611.5352148609578,64.29301199473758,64.29301199473758,64.29301199473758,C — secondaire,0.0,0.0,Very robust
Biyorwa — Bujumbura (FAO location),7,24.721475949319,54.60175512113677,42.44946860532123,42.44946860532123,42.44946860532123,D — surveillance,0.0,0.0,Very robust
Biyorwa — Bukeye,7,580.5694002792642,681.5067901196845,64.3324102104757,64.3324102104757,64.3324102104757,C — secondaire,0.0,0.0,Very robust
Biyorwa — Bukirasazi,7,480.3467507636052,557.3720802955132,61.75461873706735,61.75461873706735,61.75461873706735,C — secondaire,0.0,0.0,Very robust
Biyorwa — Burambi,7,697.2428707588492,826.2254560395069,71.80308670393218,71.80308670393218,71.80308670393218,B — prioritaire,0.0,0.0,Very robust
Biyorwa — Bururi,7,421.459922398158,503.12285131349626,71.79980460814146,71.79980460814146,71.79980460814146,B — prioritaire,0.0,0.0,Very robust
Biyorwa — Busoni,7,59.88065940166501,101.57203260071356,49.18904082226388,49.18904082226387,49.18904082226388,D — surveillance,0.0,0.0,Very robust
