corridor_key,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,priority_score,priority_tier,robust_or_strong_share_pct,products,avg_distance_km,min_distance_km,max_distance_km,avg_break_even_bif_tkm,spatial_priority_score,spatial_tier,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,products,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,geometry_type,route_observations,robust_routes,strong_or_better,avg_robustness_pct,avg_min_net_margin_bif_kg,max_min_net_margin_bif_kg,breadth_score,robust_score,margin_score,distance_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct,priority_score_component,flow_persistence_component,robustness_component,breadth_component
Bukirasazi — Gitega,Bukirasazi,Gitega,-3.7,29.96,-3.64,30.04,97.96292906142985,A — stratégique,100.0,10,13.570457,13.570457,13.570457,99542.1893308383,99.08331807764344,A — stratégique,6,100.0,6.0,1.0,10,4321.117581194687,720.1862635324478,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,1330.4773145,11229.6443145,1.0,1.0,0.919475610379488,0.9573416853840074,1.0,1.0,726.5447714999999,33.33333333333333,1.0,1.0,723.15215725,33.33333333333333,1.0,1.0,722.3198661946873,33.33333333333333,1.0,1.0,719.7595429999999,33.33333333333333,1.0,1.0,716.3669287499999,33.33333333333333,1.0,1.0,712.9743144999999,33.33333333333333,97.96292906142985,100.0,100.0,100.0
Cankuzo — Kigamba,Cankuzo,Kigamba,-3.22,30.55,-3.07,30.54,97.83687658529294,A — stratégique,100.0,10,19.366329,19.366329,19.366329,72543.226958501,99.02659446338183,A — stratégique,6,100.0,6.0,1.0,10,937.4558499894681,156.24264166491136,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,1375.8465064999998,5700.120506499999,1.0,1.0,0.923758118368901,0.936171421791493,1.0,1.0,165.3168355,33.33333333333333,1.0,1.0,160.47525325,33.33333333333333,1.0,1.0,159.2874949894681,33.33333333333333,1.0,1.0,155.633671,33.33333333333333,1.0,1.0,150.79208875,33.33333333333333,1.0,1.0,145.9505065,33.33333333333333,97.83687658529294,100.0,100.0,100.0
Biyorwa — Ruyigi,Biyorwa,Ruyigi,-3.46,30.09,-3.48,30.25,97.68077469225248,A — stratégique,100.0,10,22.72847,22.72847,22.72847,61250.14134255408,98.95634861151362,A — stratégique,6,100.0,10.0,1.6666666666666667,10,13990.404985433583,2331.7341642389306,100.0,55.55555555555555,100.0,straight_line_market_connector,10,10,10,100.0,1358.029295,4424.237295000002,1.0,1.0,0.9220933776795944,0.9238907138660593,1.0,1.0,2015.025765,33.33333333333333,1.0,1.0,2009.3436475,33.33333333333333,1.0,1.0,2007.949685433583,33.33333333333333,2.0,2.0,2261.49306,66.66666666666666,3.0,3.0,3457.8282375,100.0,2.0,2.0,2238.76459,66.66666666666666,97.68077469225248,100.0,100.0,100.0
Makamba — Muyange,Makamba,Muyange,-4.14,29.8,-4.31,29.69,97.33375366614185,A — stratégique,100.0,10,31.700439,31.700439,31.700439,44016.86676957375,98.80018914976384,A — stratégique,6,100.0,14.0,2.3333333333333335,10,9135.366514866942,1522.561085811157,100.0,77.77777777777777,100.0,straight_line_market_connector,10,10,10,100.0,1347.8033414999995,7646.899341499997,1.0,1.0,0.9211280357784336,0.8911192950573162,3.0,3.0,2061.7393415,100.0,2.0,2.0,1177.4593415000002,66.66666666666666,3.0,3.0,2032.1313438669413,100.0,1.0,1.0,751.6395610000002,33.33333333333333,2.0,2.0,1145.7589025000002,66.66666666666666,3.0,3.0,1966.6380245,100.0,97.33375366614185,100.0,100.0,100.0
Kayongozi — Ruyigi,Kayongozi,Ruyigi,-3.27,30.34,-3.48,30.25,97.14867502904823,A — stratégique,100.0,10,30.519878,30.519878,30.519878,41887.126809615685,98.71690376307171,A — stratégique,6,100.0,15.0,2.5,10,24747.14619393118,4124.524365655197,100.0,83.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,1232.610183,4729.580183000001,1.0,1.0,0.9097180187344128,0.8954314654359999,3.0,3.0,4438.630182999999,100.0,3.0,3.0,4415.7402745,100.0,3.0,3.0,4410.124821431183,100.0,2.0,2.0,3842.810244,66.66666666666666,2.0,2.0,3827.5503050000007,66.66666666666666,2.0,2.0,3812.290366,66.66666666666666,97.14867502904823,100.0,100.0,100.0
Gihamagara — Kinyinya,Gihamagara,Kinyinya,-3.62,30.02,-3.66,30.36,97.103206156099,A — stratégique,100.0,10,47.365337,47.365337,47.365337,34027.394336917736,98.69644277024454,A — stratégique,6,100.0,6.0,1.0,10,11724.74434402992,1954.12405733832,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,1540.6709944999998,9095.621994499998,1.0,1.0,0.9382098169148316,0.8339009817802372,1.0,1.0,1976.3173315,33.33333333333333,1.0,1.0,1964.47599725,33.33333333333333,1.0,1.0,1961.57102902992,33.33333333333333,1.0,1.0,1952.634663,33.33333333333333,1.0,1.0,1940.79332875,33.33333333333333,1.0,1.0,1928.9519945,33.33333333333333,97.103206156099,100.0,100.0,100.0
Kigamba — Twinkwavu,Kigamba,Twinkwavu,-3.07,30.54,-3.26,30.65,96.99504303669704,A — stratégique,100.0,10,35.361708,35.361708,35.361708,36675.57573859271,98.64776936651367,A — stratégique,6,100.0,7.0,1.1666666666666667,10,3861.9213531009627,643.6535588501605,66.66666666666666,38.888888888888886,100.0,straight_line_market_connector,10,10,10,100.0,1243.8684379999995,6284.827437999996,1.0,1.0,0.9108791624840394,0.8777459787016235,1.0,1.0,332.319146,33.33333333333333,1.0,1.0,748.5687190000001,33.33333333333333,2.0,2.0,828.0398931009624,66.66666666666666,1.0,1.0,500.0582920000001,33.33333333333333,1.0,1.0,730.8878650000001,33.33333333333333,1.0,1.0,722.0474380000002,33.33333333333333,96.99504303669704,100.0,100.0,100.0
Rubaho — Rutana,Rubaho,Rutana,-3.85,30.22,-3.93,29.99,96.89350039429186,A — stratégique,100.0,10,38.802878,38.802878,38.802878,33860.632708738776,98.60207517743135,A — stratégique,6,100.0,7.0,1.1666666666666667,10,2032.1921893090944,338.6986982181824,66.66666666666666,38.888888888888886,100.0,straight_line_market_connector,10,10,10,100.0,1255.6856830000002,9191.795683,1.0,1.0,0.9120867167721992,0.865176605884789,2.0,2.0,675.7871220000002,66.66666666666666,1.0,1.0,283.3978415,33.33333333333333,1.0,1.0,281.0180183090942,33.33333333333333,1.0,1.0,273.697122,33.33333333333333,1.0,1.0,263.9964025,33.33333333333333,1.0,1.0,254.295683,33.33333333333333,96.89350039429186,100.0,100.0,100.0
Bandaga — Muhanga,Bandaga,Muhanga,-3.07,29.61,-3.03,29.83,96.84070797188868,A — stratégique,100.0,10,33.018862,33.018862,33.018862,35793.965279602904,98.57831858734991,A — stratégique,6,100.0,6.0,1.0,10,8808.116460372792,1468.019410062132,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,1132.3477069999997,6617.141706999998,1.0,1.0,0.8988836167360695,0.8863035637167287,1.0,1.0,1483.490569,33.33333333333333,1.0,1.0,1475.2358535,33.33333333333333,1.0,1.0,1473.2107703727918,33.33333333333333,1.0,1.0,1466.981138,33.33333333333333,1.0,1.0,1458.7264225,33.33333333333333,1.0,1.0,1450.471707,33.33333333333333,96.84070797188868,100.0,100.0,100.0
Busoni — Mukenke,Busoni,Mukenke,-2.53,30.22,-2.58,30.33,96.6533527979836,A — stratégique,100.0,10,21.702335,21.702335,21.702335,42739.45637646825,98.49400875909262,A — stratégique,6,100.0,6.0,1.0,10,923.8805456718815,153.98009094531358,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,894.9924975,6217.4464975,1.0,1.0,0.8688482294646667,0.927638820869027,1.0,1.0,164.1488325,33.33333333333333,1.0,1.0,158.72324875,33.33333333333333,1.0,1.0,157.3922206718815,33.33333333333333,1.0,1.0,153.297665,33.33333333333333,1.0,1.0,147.87208125,33.33333333333333,1.0,1.0,142.4464975,33.33333333333333,96.6533527979836,100.0,100.0,100.0
