mkt_name,lat,lon
Bandaga,-3.07,29.61
Biyorwa,-3.46,30.09
Bubanza,-3.08,29.39
Buhiga,-3.03,30.17
Bujumbura (FAO location),-3.38,29.36
Bukeye,-3.19,29.63
Bukirasazi,-3.7,29.96
Burambi,-3.75,29.42
Bururi,-3.95,29.63
Busoni,-2.53,30.22
Buyengero,-3.81,29.54
Cankuzo,-3.22,30.55
Chez Siyoni,-3.36,29.37
Cibitoke,-2.9,29.13
Gasenyi,-2.96,29.19
Gasorwe,-2.85,30.22
Gatabo,-3.28,29.7
Gihamagara,-3.62,30.02
Giharo,-3.78,30.23
Gihogazi,-3.12,30.0
Gisuru,-3.46,30.5
Gitaza,-3.61,29.35
Gitega,-3.64,30.04
Gitega Centre,-3.43,29.93
Giteranyi,-2.52,30.46
Gitobe,-2.65,30.2
Jene,-2.85,29.61
Kamenge,-3.35,29.38
Kanyosha,-3.43,29.36
Kayanza,-2.93,29.63
Kayero,-3.81,30.12
Kayogoro,-4.12,29.95
Kayongozi,-3.27,30.34
Kigamba,-3.07,30.54
Kinama,-3.3,29.52
Kinyinya,-3.66,30.36
Kirehe,-2.95,30.35
Kirundo,-2.58,30.1
Kivyuka,-3.03,29.45
Kobero,-2.65,30.41
Mabanda,-4.27,29.77
Mabayi,-2.72,29.24
Makamba,-4.14,29.8
Marangara,-2.74,29.99
Masanganzira,-2.81,30.1
Matana,-3.77,29.69
Mihigo,-2.85,29.75
Mishiha,-3.01,30.78
Muhanga,-3.03,29.83
Mukenke,-2.58,30.33
Muramvya,-3.27,29.62
Musenyi,-3.17,29.4
Mutaho,-3.14,29.87
Muyange,-4.31,29.69
Muyinga,-2.85,30.34
Muzinda,-3.26,29.42
Mwakiro,-3.13,30.29
Mwaro,-3.52,29.71
Ngozi,-2.91,29.83
Nyabihanga,-3.47,29.81
Nyabikere,-3.26,30.11
Nyagasasa,-3.59,29.59
Rubaho,-3.85,30.22
Rugombo,-2.81,29.08
Ruhehe,-2.44,30.03
Rumonge,-3.98,29.44
Rusaka,-3.44,29.63
Rutana,-3.93,29.99
Ruyigi,-3.48,30.25
Rwibaga,-3.47,29.55
Twinkwavu,-3.26,30.65
Wimpfizi,-3.61,29.79
