corridor_key,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct
Kayogoro — Rutana,6,100.0,12.0,2.0,98380.31192342227,16396.71865390371,66.66666666666666,66.66666666666666,100.0,2.0,2.0,16422.494419,66.66666666666666,2.0,2.0,16408.7416285,66.66666666666666,2.0,2.0,16405.367733422263,66.66666666666666,2.0,2.0,16394.988838,66.66666666666666,2.0,2.0,16381.2360475,66.66666666666666,2.0,2.0,16367.483257,66.66666666666666
Gihogazi — Mutaho,6,100.0,6.0,1.0,54877.97129012612,9146.328548354353,33.33333333333333,33.33333333333333,100.0,1.0,1.0,9156.169074499998,33.33333333333333,1.0,1.0,9150.918611749998,33.33333333333333,1.0,1.0,9149.630545126132,33.33333333333333,1.0,1.0,9145.668148999996,33.33333333333333,1.0,1.0,9140.41768625,33.33333333333333,1.0,1.0,9135.1672235,33.33333333333333
Mabanda — Muyange,6,100.0,18.0,3.0,49798.276693282634,8299.712782213772,100.0,100.0,100.0,3.0,3.0,8520.010306,100.0,3.0,3.0,8109.180459,100.0,3.0,3.0,8506.523633282633,100.0,3.0,3.0,8098.350612,100.0,3.0,3.0,8087.520765,100.0,3.0,3.0,8476.690918,100.0
Giteranyi — Mukenke,6,100.0,6.0,1.0,37369.941578961654,6228.323596493609,33.33333333333333,33.33333333333333,100.0,1.0,1.0,6238.8099285,33.33333333333333,1.0,1.0,6233.21489275,33.33333333333333,1.0,1.0,6231.842293961653,33.33333333333333,1.0,1.0,6227.619857,33.33333333333333,1.0,1.0,6222.02482125,33.33333333333333,1.0,1.0,6216.4297855,33.33333333333333
Marangara — Masanganzira,6,100.0,6.0,1.0,32178.115174016664,5363.019195669444,33.33333333333333,33.33333333333333,100.0,1.0,1.0,5373.855968999998,33.33333333333333,1.0,1.0,5368.073953499998,33.33333333333333,1.0,1.0,5366.65548401667,33.33333333333333,1.0,1.0,5362.291937999999,33.33333333333333,1.0,1.0,5356.509922499999,33.33333333333333,1.0,1.0,5350.727906999999,33.33333333333333
Kirundo — Ruhehe,6,100.0,12.0,2.0,30491.71866318634,5081.953110531057,66.66666666666666,66.66666666666666,100.0,2.0,2.0,5101.432909,66.66666666666666,2.0,2.0,5091.0393635,66.66666666666666,2.0,2.0,5088.48957318634,66.66666666666666,2.0,2.0,5080.645818,66.66666666666666,2.0,2.0,5070.2522725,66.66666666666666,2.0,2.0,5059.858727,66.66666666666666
Kayanza — Mabayi,6,100.0,10.0,1.6666666666666667,28397.76682291449,4732.961137152415,66.66666666666666,55.55555555555554,100.0,2.0,2.0,4799.020786,66.66666666666666,2.0,2.0,4755.476179,66.66666666666666,2.0,2.0,5370.833624414489,66.66666666666666,2.0,2.0,4711.931572,66.66666666666666,1.0,1.0,4391.1384825,33.33333333333333,1.0,1.0,4369.366179,33.33333333333333
Gitaza — Kanyosha,6,100.0,14.0,2.3333333333333335,28064.733156281545,4677.455526046924,100.0,77.77777777777777,100.0,2.0,2.0,2588.353086,66.66666666666666,3.0,3.0,8914.939443499998,100.0,2.0,2.0,2574.612852781549,66.66666666666666,2.0,2.0,2566.286172,66.66666666666666,2.0,2.0,2555.252715,66.66666666666666,3.0,3.0,8865.288886999997,100.0
Busoni — Gitobe,6,100.0,6.0,1.0,25725.425758120502,4287.57095968675,33.33333333333333,33.33333333333333,100.0,1.0,1.0,4296.273466499998,33.33333333333333,1.0,1.0,4291.630199749998,33.33333333333333,1.0,1.0,4290.491093120514,33.33333333333333,1.0,1.0,4286.986932999997,33.33333333333333,1.0,1.0,4282.343666249998,33.33333333333333,1.0,1.0,4277.700399499998,33.33333333333333
Kayongozi — Ruyigi,6,100.0,15.0,2.5,24747.14619393118,4124.524365655197,100.0,83.33333333333333,100.0,3.0,3.0,4438.630182999999,100.0,3.0,3.0,4415.7402745,100.0,3.0,3.0,4410.124821431183,100.0,2.0,2.0,3842.810244,66.66666666666666,2.0,2.0,3827.5503050000007,66.66666666666666,2.0,2.0,3812.290366,66.66666666666666
